,Rewards,Steps,WaitTime
0,-200.6056770357606,152,11.88
1,-298.05607313828347,144,10.53
2,-96.2915070999157,145,9.89
3,1.9079683802563416,175,11.21
4,-100.71882767267608,144,12.03
5,-197.73177105070425,144,10.77
6,-497.77513073701846,144,10.31
7,-101.95705432961734,147,12.64
8,2.6564839104425384,150,10.61
9,-199.32641123764563,155,11.37
10,-197.02247979273227,143,9.95
11,-195.88489690032642,161,9.78
12,-398.6326573619371,144,10.34
13,1.4634290802712715,152,11.64
14,2.015884660787993,147,10.99
15,-199.19765673569037,141,10.99
16,-200.29765736001735,136,11.95
17,-98.14506421395568,140,10.53
18,-97.86971799107864,165,10.87
19,2.1098144087830897,141,10.46
20,-0.3454598886045767,164,11.96
21,2.515735502963159,145,10.35
22,-197.82412581458985,158,10.74
23,1.4260549691089366,168,11.1
24,-397.76714471388647,178,10.56
25,-297.7983782151376,155,10.84
26,-99.3613136425313,146,10.93
27,-96.2243887970886,129,10.25
28,3.8697820735795516,142,10.03
29,-97.60269652824809,149,10.69
30,1.5358705662593857,165,11.0
31,1.4813853409242974,154,10.44
32,-98.47259324055622,146,11.03
33,-98.76836485009612,176,11.58
34,-99.51542119971846,140,11.87
35,-198.86251181778826,141,11.9
36,-397.9181801343363,150,10.78
37,3.050430756796182,134,10.24
38,-301.0910825145188,142,12.23
39,-98.19329247149224,150,10.46
40,-397.0413462822105,131,10.0
41,3.259502639042464,166,9.92
42,1.6159459023256293,134,10.86
43,-397.81533701143366,133,10.36
44,-98.32255120648482,151,10.92
45,4.019981718023069,136,9.85
46,-99.89538616542706,152,11.64
47,-297.1553388126471,141,10.54
48,0.14213233308319417,157,12.64
49,-196.80561349835452,155,9.89
